Unique ID,Name,Measure,Geo Type Name,Geo Place Name,Time Period,Start_Date,Data Value,Air Quality Category
179772,Emissions,Density,UHF42,Queens,Other,2015-01-01,0.3,Good
179785,Emissions,Density,UHF42,Unknown,Other,2015-01-01,1.2,Good
178540,General Pollution,Miles,UHF42,Unknown,Annual Average,2011-12-01,8.6,Good
178561,General Pollution,Miles,UHF42,Queens,Annual Average,2011-12-01,8.0,Good
823217,General Pollution,Miles,UHF42,Queens,Summer,2022-06-01,6.1,Good
177910,General Pollution,Miles,UHF42,Unknown,Summer,2012-06-01,10.0,Good
177952,General Pollution,Miles,UHF42,Unknown,Summer,2013-06-01,9.8,Good
177973,General Pollution,Miles,UHF42,Queens,Summer,2013-06-01,9.8,Good
177931,General Pollution,Miles,UHF42,Queens,Summer,2012-06-01,9.6,Good
742274,General Pollution,Miles,UHF42,Queens,Summer,2021-06-01,7.2,Good
178582,General Pollution,Miles,UHF42,Unknown,Annual Average,2012-12-01,8.2,Good
178583,General Pollution,Miles,UHF42,Unknown,Annual Average,2012-12-01,8.1,Good
547477,General Pollution,Miles,UHF42,Queens,Annual Average,2017-01-01,6.8,Good
547417,General Pollution,Miles,UHF42,Unknown,Annual Average,2017-01-01,6.8,Good
177784,General Pollution,Miles,UHF42,Unknown,Summer,2009-06-01,10.6,Moderate
547414,General Pollution,Miles,UHF42,Unknown,Annual Average,2017-01-01,7.1,Good
130413,Emissions,Density,UHF42,Unknown,Other,2013-01-01,0.9,Good
130412,Emissions,Density,UHF42,Unknown,Other,2013-01-01,1.7,Good
130434,Emissions,Density,UHF42,Queens,Other,2013-01-01,0.0,Good
410847,General Pollution,Miles,UHF42,Queens,Summer,2016-06-01,6.9,Good
177889,General Pollution,Miles,UHF42,Queens,Summer,2011-06-01,10.8,Moderate
177932,General Pollution,Miles,UHF42,Queens,Summer,2012-06-01,9.4,Good
410782,General Pollution,Miles,UHF42,Unknown,Annual Average,2015-12-31,7.1,Good
177974,General Pollution,Miles,UHF42,Queens,Summer,2013-06-01,9.5,Good
410848,General Pollution,Miles,UHF42,Queens,Annual Average,2015-12-31,6.0,Good
823218,General Pollution,Miles,UHF42,Queens,Winter,2021-12-01,6.4,Good
176692,General Pollution,Miles,UHF42,Unknown,Annual Average,2012-12-01,18.6,Moderate
549806,General Pollution,Miles,UHF42,Unknown,Annual Average,2017-01-01,17.7,Moderate
175369,General Pollution,Miles,UHF42,Queens,Winter,2010-12-01,25.7,Bad
175915,General Pollution,Miles,UHF42,Queens,Summer,2009-06-01,16.1,Moderate
549872,General Pollution,Miles,UHF42,Queens,Annual Average,2017-01-01,12.7,Moderate
741006,General Pollution,Miles,UHF42,Queens,Annual Average,2021-01-01,11.4,Moderate
175916,General Pollution,Miles,UHF42,Queens,Summer,2009-06-01,8.6,Good
336603,General Pollution,Miles,UHF42,Queens,Winter,2014-12-01,20.7,Moderate
178542,General Pollution,Miles,UHF42,Unknown,Annual Average,2011-12-01,9.7,Good
177912,General Pollution,Miles,UHF42,Unknown,Summer,2012-06-01,12.3,Moderate
177954,General Pollution,Miles,UHF42,Unknown,Summer,2013-06-01,12.2,Moderate
334047,General Pollution,Miles,UHF42,Unknown,Winter,2014-12-01,8.8,Good
177772,General Pollution,Miles,UHF42,Unknown,Summer,2009-06-01,10.4,Moderate
742215,General Pollution,Miles,UHF42,Unknown,Annual Average,2021-01-01,7.2,Good
742257,General Pollution,Miles,UHF42,Unknown,Annual Average,2021-01-01,6.3,Good
178588,General Pollution,Miles,UHF42,Unknown,Annual Average,2012-12-01,10.4,Moderate
177244,General Pollution,Miles,UHF42,Unknown,Winter,2010-12-01,14.4,Moderate
410828,General Pollution,Miles,UHF42,Unknown,Winter,2015-12-01,7.4,Good
177856,General Pollution,Miles,UHF42,Unknown,Summer,2011-06-01,11.5,Moderate
823275,General Pollution,Miles,UHF42,Unknown,Winter,2021-12-01,7.4,Good
177916,General Pollution,Miles,UHF42,Unknown,Summer,2012-06-01,11.4,Moderate
410800,General Pollution,Miles,UHF42,Unknown,Annual Average,2015-12-31,8.5,Good
177958,General Pollution,Miles,UHF42,Unknown,Summer,2013-06-01,11.4,Moderate
605693,General Pollution,Miles,UHF42,Unknown,Annual Average,2018-01-01,7.1,Good
742193,General Pollution,Miles,UHF42,Unknown,Summer,2021-06-01,8.3,Good
177905,General Pollution,Miles,UHF42,Unknown,Summer,2012-06-01,9.7,Good
175354,General Pollution,Miles,UHF42,Unknown,Winter,2010-12-01,33.7,Bad
176698,General Pollution,Miles,UHF42,Unknown,Annual Average,2012-12-01,26.5,Bad
175364,General Pollution,Miles,UHF42,Unknown,Winter,2010-12-01,26.2,Bad
175896,General Pollution,Miles,UHF42,Unknown,Summer,2009-06-01,23.1,Moderate
549854,General Pollution,Miles,UHF42,Unknown,Annual Average,2017-01-01,16.6,Moderate
740946,General Pollution,Miles,UHF42,Unknown,Annual Average,2021-01-01,19.0,Moderate
549824,General Pollution,Miles,UHF42,Unknown,Annual Average,2017-01-01,23.4,Moderate
176656,General Pollution,Miles,UHF42,Unknown,Annual Average,2011-12-01,27.1,Bad
410767,General Pollution,Miles,UHF42,Unknown,Annual Average,2015-12-31,7.8,Good
742214,General Pollution,Miles,UHF42,Unknown,Summer,2021-06-01,9.2,Good
177898,General Pollution,Miles,UHF42,Unknown,Summer,2012-06-01,10.3,Moderate
177940,General Pollution,Miles,UHF42,Unknown,Summer,2013-06-01,10.3,Moderate
823296,General Pollution,Miles,UHF42,Unknown,Winter,2021-12-01,6.7,Good
742172,General Pollution,Miles,UHF42,Unknown,Summer,2021-06-01,8.5,Good
823317,General Pollution,Miles,UHF42,Unknown,Winter,2021-12-01,7.2,Good
334155,General Pollution,Miles,UHF34,Queens,Winter,2014-12-01,8.2,Good
742205,General Pollution,Miles,UHF42,Unknown,Summer,2021-06-01,8.0,Good
547411,General Pollution,Miles,UHF42,Unknown,Annual Average,2017-01-01,7.0,Good
742269,General Pollution,Miles,UHF42,Unknown,Annual Average,2021-01-01,6.4,Good
547441,General Pollution,Miles,UHF42,Unknown,Annual Average,2017-01-01,10.3,Moderate
742236,General Pollution,Miles,UHF42,Unknown,Annual Average,2021-01-01,8.2,Good
605681,General Pollution,Miles,UHF42,Unknown,Annual Average,2018-01-01,7.9,Good
605735,General Pollution,Miles,UHF42,Unknown,Annual Average,2018-01-01,10.3,Moderate
605765,General Pollution,Miles,UHF42,Queens,Annual Average,2018-01-01,6.6,Good
177962,General Pollution,Miles,UHF42,Unknown,Summer,2013-06-01,12.0,Moderate
549803,General Pollution,Miles,UHF42,Unknown,Annual Average,2017-01-01,15.6,Moderate
549833,General Pollution,Miles,UHF42,Unknown,Annual Average,2017-01-01,30.3,Bad
176712,General Pollution,Miles,UHF42,Unknown,Annual Average,2012-12-01,19.0,Moderate
175904,General Pollution,Miles,UHF42,Unknown,Summer,2009-06-01,31.6,Bad
336567,General Pollution,Miles,UHF42,Unknown,Winter,2014-12-01,30.2,Bad
549836,General Pollution,Miles,UHF42,Unknown,Annual Average,2017-01-01,25.6,Bad
175913,General Pollution,Miles,UHF42,Queens,Summer,2009-06-01,18.6,Moderate
742238,General Pollution,Miles,UHF42,Unknown,Summer,2021-06-01,10.2,Moderate
179584,General Pollution,Miles,Borough,Brooklyn,Summer,2012-06-01,10.4,Moderate
179589,General Pollution,Miles,Borough,Brooklyn,Summer,2013-06-01,10.3,Moderate
410725,General Pollution,Miles,Borough,Brooklyn,Annual Average,2015-12-31,7.8,Good
823284,General Pollution,Miles,UHF42,Unknown,Winter,2021-12-01,6.4,Good
334095,General Pollution,Miles,UHF34,Unknown,Winter,2014-12-01,10.1,Moderate
547510,General Pollution,Miles,UHF34,Unknown,Annual Average,2017-01-01,8.4,Good
174260,General Pollution,Miles,UHF34,Unknown,Annual Average,2012-12-01,9.5,Good
173614,General Pollution,Miles,UHF34,Unknown,Summer,2009-06-01,11.0,Moderate
547540,General Pollution,Miles,UHF34,Unknown,Annual Average,2017-01-01,7.8,Good
173158,General Pollution,Miles,UHF34,Bronx,Winter,2010-12-01,13.4,Moderate
212818,General Pollution,Miles,UHF42,Unknown,Summer,2014-06-01,12.4,Moderate
825997,General Pollution,Miles,UHF42,Unknown,Summer,2022-06-01,10.5,Moderate
412501,General Pollution,Miles,UHF42,Unknown,Annual Average,2015-12-31,30.1,Bad
176040,General Pollution,Miles,UHF42,Unknown,Summer,2012-06-01,16.2,Moderate
740969,General Pollution,Miles,UHF42,Unknown,Summer,2021-06-01,17.9,Moderate
825722,General Pollution,Miles,UHF42,Unknown,Winter,2021-12-01,24.7,Moderate
177955,General Pollution,Miles,UHF42,Unknown,Summer,2013-06-01,10.4,Moderate
547390,General Pollution,Miles,UHF42,Unknown,Annual Average,2017-01-01,9.0,Good
177944,General Pollution,Miles,UHF42,Unknown,Summer,2013-06-01,11.5,Moderate
823305,General Pollution,Miles,UHF42,Unknown,Winter,2021-12-01,7.4,Good
549782,General Pollution,Miles,UHF42,Unknown,Annual Average,2017-01-01,21.2,Moderate
549815,General Pollution,Miles,UHF42,Unknown,Annual Average,2017-01-01,20.6,Moderate
175361,General Pollution,Miles,UHF42,Unknown,Winter,2010-12-01,31.5,Bad
825775,General Pollution,Miles,UHF42,Unknown,Summer,2022-06-01,14.1,Moderate
825742,General Pollution,Miles,UHF42,Unknown,Summer,2022-06-01,13.5,Moderate
823272,General Pollution,Miles,UHF42,Unknown,Winter,2021-12-01,7.3,Good
